state,year,votes_dem_perc_diff,votes_gop_perc_diff,exp_amo_diff,dem_comm_exp_diff,rep_comm_exp_diff,dem_adv_exp_diff,rep_adv_exp_diff,dem_research_exp_diff,rep_research_exp_diff,dem_others_exp_diff,rep_others_exp_diff,dem_logistics_exp_diff,rep_logistic_exp_diff,dem_exp_diff,rep_exp_diff,winner
AK,2016,-5.0440313111545985,-0.7827491559182881,33347569.340002295,1.1893440800000001,-0.13311333,18.13534042999999,13.045210320000006,0.28161284,0.02120343,0.5600125600000013,0.11572954,0.05603669000000011,0.07619277999999999,-0.14317530999999661,13.12522274,REPUBLICANS
AK,2020,31.730125199649645,16.222220862124892,-6524029.730002295,-0.5978528800000001,-0.0009364599999999862,-2.2868818199999907,-15.326624860000006,-0.28061284,-0.0225,-0.5593438500000013,-0.13227215,-0.05508876000000011,-0.08071693999999999,-20.389193309999555,-15.725660380000003,REPUBLICANS
AL,2016,-8.313350827451691,4.962477854967454,-5242427.560000001,-0.68500779,0.0036403799999999986,-2.45134776,-1.84997288,0.0,-0.06430698000000001,-0.08999850000000001,0.01434795,-0.12217198000000001,0.0023899999999999998,-3.3485260300000013,-1.89390153,REPUBLICANS
AL,2020,16.462407493965433,9.324331500094823,26250445.900000017,0.7470575399999999,0.64387255,15.173325280000004,8.456712099999999,0.031117879999999997,0.08524487,0.13060526000000003,0.47321174000000005,0.43729066999999994,0.07200801,13.572189280000005,4.800813160000001,REPUBLICANS
AR,2016,-3.5280635076785773,5.731894081612489,34026848.659999885,-0.13546434999999996,0.42854483000000015,12.290115819999997,21.184239280000007,-0.202985,0.059149999999999994,-0.12859653000000054,0.33139105999999957,-0.013110459999999977,0.2135640099999999,11.809959479999867,22.216889180000067,REPUBLICANS
AR,2020,11.416211556555425,11.064111249985398,-33623043.570000015,-0.16069071,-0.3935082800000002,-12.14406155,-20.461966700000005,0.0,-0.07415,0.00303221,-0.33403399999999955,0.15641276,-0.2140772999999999,-16.01359106,-23.390745860000067,REPUBLICANS
AZ,2016,13.258950169327528,1.519631922727118,-11954068.27999996,0.62922794,-0.7766365600000007,-3.7981565200000063,-7.4016475399999955,0.016049410000000004,-0.05179282000000002,-0.04828409000000004,-0.14912899,-0.3507694499999999,-0.02292966,-3.551932710000017,-8.402135570000002,REPUBLICANS
AZ,2020,44.00538423844288,32.68002820182993,141530503.44000012,2.5369799200000007,0.8441615299999996,61.45713465000001,66.26929377000003,5.67251966,-0.10521981000000004,1.36032591,1.6404146300000002,1.7075376300000005,0.14733601000000002,16.91109807999997,19.56907552999998,DEMOCRATS
CA,2016,11.45238554496049,-7.358493606762703,4496389.840000011,-0.6160573400000011,-1.0040182999999998,10.968303490000004,-4.894393260000008,0.21203491000000002,-0.04809784,0.012472290000000053,0.17240290999999996,-0.28436010000000006,0.009251290000000079,10.292393250000075,-5.764855200000007,DEMOCRATS
CA,2020,26.9137886364166,33.94771410920623,88521158.830001,4.988347410000009,0.7256885399999997,73.04817938000005,6.997760210000024,0.2380808699999999,-0.24145741000000004,0.7403896599999898,0.7670773900000001,1.426964699999997,-0.14894915,18.090372169999235,-9.74583046000001,DEMOCRATS
